@relation Test-weka.filters.unsupervised.attribute.NumericToNominal-R1-last

@attribute value numeric
@attribute state {0,1}

@data
542,1
79.1,0
1013.3,1
152.5,0
125.5,0
657.9,1
843.3,1
722.1,1
97.2,0
682,1
35,0
253.6,0
176.8,0
485.8,0
153.5,0
929.7,1
621.5,1
110.1,0
633.5,1
413.7,0
883,1
600.6,1
967.9,1
541.8,1
864.7,1
371.4,0
705.8,1
397.3,0
584.5,1
129.9,0
436.6,0
474.9,0
1016,1
969.7,1
61.4,0
721.5,1
622.8,1
627.6,1
839,1
197.5,0
685.6,1
659,1
596.8,1
934.4,1
106.4,0
897.6,1
257.6,0
29.3,0
121.2,0
146.7,0
328.7,0
292.3,0
801.8,1
898,1
429.5,0
230.8,0
937,1
999.3,1
581.4,1
310.6,0
272.5,0
994.1,1
896.5,1
345,0
198.1,0
991.7,1
260.1,0
365.3,0
157.6,0
441.8,0
945.3,1
589.1,1
894.3,1
825,1
480.1,0
138.9,0
892.8,1
838.9,1
199.5,0
816.1,1
155.7,0
474.6,0
497,0
330.9,0
624.6,1
124.3,0
264.7,0
939.8,1
181.7,0
424.2,0
218.9,0
840.7,1
18.4,0
622.7,1
348.8,0
136.8,0
347.9,0
990.3,1
240.9,0
630.2,1
